"","rgn_id","area_km2","SID"
"736",3,59638,15601872
"737",4,42218,15601872
"738",5,1453,15601872
"739",6,6675,15601872
"740",7,3398,15601872
"741",8,2675,15601872
"742",9,180,15601872
"743",10,4395,15601872
"744",11,1119,15601872
"745",1,105282,15601902
"746",2,49938,15601902
"747",3,49911,15601902
"748",4,42218,15601902
"749",5,1453,15601902
"750",6,800,15601902
"751",7,3398,15601902
"752",8,2675,15601902
"753",9,180,15601902
"754",10,4395,15601902
"755",11,1119,15601902
"756",1,52300,15601962
"757",2,2283,15601962
"758",3,2800,15601962
"759",4,3621,15601962
"760",1,199,15873
"761",4,23727,15873
"762",5,1453,15873
"763",10,4395,15873
"764",11,506,15873
"765",1,27,161366
"766",2,10741,161366
"767",4,5042,161366
"768",1,52305,161371
"769",2,2291,161371
"770",4,4019,161371
"771",1,255,161491
"772",2,26661,161491
"773",4,16572,161491
"774",1,52556,161521
"775",2,49938,161521
"776",3,13172,161521
"777",4,42218,161521
"778",5,1453,161521
"779",7,74,161521
"780",8,2675,161521
"781",10,4395,161521
"782",11,1119,161521
"783",1,199,161524
"784",4,18866,161524
"785",5,1161,161524
"786",10,3542,161524
"787",1,255,161580
"788",2,47647,161580
"789",3,52943,161580
"790",4,38213,161580
"791",5,1453,161580
"792",6,6537,161580
"793",7,3398,161580
"794",8,2675,161580
"795",9,180,161580
"796",10,4395,161580
"797",11,1119,161580
"798",1,22,161587
"799",2,4020,161587
"800",1,105282,161696
"801",2,49938,161696
"802",3,53903,161696
"803",4,42218,161696
"804",5,1453,161696
"805",6,5287,161696
"806",7,3398,161696
"807",8,2675,161696
"808",9,180,161696
"809",10,4395,161696
"810",11,1119,161696
"811",1,50,161731
"812",2,40283,161731
"813",3,2333,161731
"814",4,3848,161731
"815",1,250,16407002
"816",2,47654,16407002
"817",3,54459,16407002
"818",4,38582,16407002
"819",5,1453,16407002
"820",6,6675,16407002
"821",7,3398,16407002
"822",8,2675,16407002
"823",9,180,16407002
"824",10,4395,16407002
"825",11,1119,16407002
"826",1,445,16407132
"827",2,48480,16407132
"828",3,21179,16407132
"829",4,39395,16407132
"830",5,1453,16407132
"831",7,3079,16407132
"832",8,2676,16407132
"833",10,4396,16407132
"834",11,1119,16407132
"835",1,255,16407217
"836",2,47647,16407217
"837",3,53077,16407217
"838",4,38214,16407217
"839",5,1453,16407217
"840",6,6675,16407217
"841",7,3398,16407217
"842",8,2675,16407217
"843",9,180,16407217
"844",10,4395,16407217
"845",11,1119,16407217
"846",1,52554,16407630
"847",2,49938,16407630
"848",3,59638,16407630
"849",4,42218,16407630
"850",5,1453,16407630
"851",6,6675,16407630
"852",7,3398,16407630
"853",8,2675,16407630
"854",9,180,16407630
"855",10,4395,16407630
"856",11,1119,16407630
"857",1,199,16425314
"858",4,23161,16425314
"859",5,1437,16425314
"860",10,4395,16425314
"861",11,77,16425314
"862",1,42504,16425354
"863",2,49686,16425354
"864",3,59523,16425354
"865",4,42218,16425354
"866",5,1453,16425354
"867",6,6386,16425354
"868",7,3398,16425354
"869",8,2675,16425354
"870",9,180,16425354
"871",10,4395,16425354
"872",11,1119,16425354
"873",1,199,16431725
"874",2,11682,16431725
"875",3,13054,16431725
"876",4,37232,16431725
"877",5,1453,16431725
"878",6,64,16431725
"879",7,3394,16431725
"880",8,2675,16431725
"881",9,63,16431725
"882",10,4393,16431725
"883",11,1119,16431725
"884",4,1063,16431737
"885",1,200,16435530
"886",2,14373,16435530
"887",3,11424,16435530
"888",4,37683,16435530
"889",5,1453,16435530
"890",7,3193,16435530
"891",8,2675,16435530
"892",10,4395,16435530
"893",11,1119,16435530
"894",1,5,16437187
"895",2,11510,16437187
"896",3,1167,16437187
"897",4,22163,16437187
"898",5,1453,16437187
"899",7,2738,16437187
"900",8,2675,16437187
"901",10,4393,16437187
"902",11,1119,16437187
"903",1,105282,16439367
"904",2,49938,16439367
"905",3,59638,16439367
"906",4,42218,16439367
"907",5,1453,16439367
"908",6,6675,16439367
"909",7,3398,16439367
"910",8,2675,16439367
"911",9,180,16439367
"912",10,4395,16439367
"913",11,1119,16439367
"914",1,249,16439848
"915",2,47647,16439848
"916",3,14127,16439848
"917",4,38206,16439848
"918",5,1453,16439848
"919",7,3295,16439848
"920",8,2674,16439848
"921",10,4393,16439848
"922",11,1119,16439848
"923",1,249,16440016
"924",2,47646,16440016
"925",3,20371,16440016
"926",4,38206,16440016
"927",5,1453,16440016
"928",6,115,16440016
"929",7,3398,16440016
"930",8,2675,16440016
"931",9,173,16440016
"932",10,4395,16440016
"933",11,1119,16440016
"934",1,200,16440027
"935",2,9406,16440027
"936",3,3293,16440027
"937",4,37665,16440027
"938",5,1453,16440027
"939",7,2878,16440027
"940",8,2674,16440027
"941",10,4393,16440027
"942",11,1119,16440027
"943",1,206,16440083
"944",2,12542,16440083
"945",3,2705,16440083
"946",4,38090,16440083
"947",5,1453,16440083
"948",7,2397,16440083
"949",8,2675,16440083
"950",10,4395,16440083
"951",11,1119,16440083
"952",1,199,16441575
"953",2,46851,16441575
"954",3,53146,16441575
"955",4,37384,16441575
"956",5,1453,16441575
"957",6,6675,16441575
"958",7,3398,16441575
"959",8,2675,16441575
"960",9,180,16441575
"961",10,4395,16441575
"962",11,1119,16441575
"963",1,12,16441698
"964",4,3794,16441698
"965",1,199,16441738
"966",2,7958,16441738
"967",3,25270,16441738
"968",4,34900,16441738
"969",5,1453,16441738
"970",6,6558,16441738
"971",7,3398,16441738
"972",8,2675,16441738
"973",9,180,16441738
"974",10,4395,16441738
"975",11,1119,16441738
"976",1,205,16443217
"977",4,26233,16443217
"978",5,1453,16443217
"979",10,4395,16443217
"980",11,465,16443217
"981",1,52555,16449531
"982",2,49938,16449531
"983",3,40862,16449531
"984",4,42218,16449531
"985",5,1453,16449531
"986",7,3296,16449531
"987",8,2675,16449531
"988",10,4395,16449531
"989",11,1119,16449531
"990",1,249,16466100
"991",2,47646,16466100
"992",3,49004,16466100
"993",4,38206,16466100
"994",5,1453,16466100
