"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"296","cunner","Tautogolabrus adspersus",NA,NA,0,4,"Mid-Atlantic Bight",NA
"297","cunner","Tautogolabrus adspersus","NY","N5",0,10,"New York",NA
"298","cusk","Brosme brosme",NA,NA,NA,3,"Gulf of Maine",NA
"299","cusk","Brosme brosme","ME","NNR",NA,6,"Maine",NA
"300","cusk","Brosme brosme",NA,NA,NA,2,"Georges Bank",NA
"301","cusk","Brosme brosme",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"302","cusk","Brosme brosme",NA,NA,NA,1,"Offshore",NA
"303","cuviers beaked whale","Ziphius cavirostris",NA,NA,0,3,"Gulf of Maine",NA
"304","cuviers beaked whale","Ziphius cavirostris",NA,NA,0,2,"Georges Bank",NA
"305","cuviers beaked whale","Ziphius cavirostris",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"306","cuviers beaked whale","Ziphius cavirostris",NA,NA,0,8,"Massachusetts-Virginian",NA
"307","cuviers beaked whale","Ziphius cavirostris",NA,NA,0,4,"Mid-Atlantic Bight",NA
"308","cuviers beaked whale","Ziphius cavirostris",NA,NA,0,1,"Offshore",NA
"309","double crested cormorant","Phalacrocorax auritus",NA,NA,0,3,"Gulf of Maine",NA
"310","double crested cormorant","Phalacrocorax auritus",NA,NA,0,2,"Georges Bank",NA
"311","double crested cormorant","Phalacrocorax auritus","MA","S3B,S5N",0.4,7,"Massachusetts-Gulf of Maine",NA
