iucn_sid,sciname,population,category,common_name
2475,Balaenoptera borealis,NA,EN,Sei Whale
13241,Mesoplodon bidens,NA,DD,Sowerby's Beaked Whale
10707,Hyperoodon ampullatus,NA,DD,Northern Bottlenose Whale
192942,Morone saxatilis,NA,LC,Striped Bass
135567,Mugil cephalus,NA,LC,Flathead Mullet
190168,Mugil curema,NA,LC,White Mullet
16545072,Mullus auratus,NA,LC,Red Goatfish
16545086,Pseudupeneus maculatus,NA,LC,Spotted Goatfish
198611,Benthosema glaciale,NA,LC,Glacier Lantern Fish
15598524,Benthosema suborbitale,NA,LC,Smallfin lanternfish
190390,Bolinichthys indicus,NA,LC,Lanternfish
190317,Bolinichthys photothorax,NA,LC,Spurcheek Lanternfish
190488,Bolinichthys supralateralis,NA,LC,Stubby Lanternfish
15598550,Centrobranchus nigroocellatus,NA,LC,Roundnose lanternfish
198612,Ceratoscopelus maderensis,NA,LC,Madeira Lantern Fish
15598596,Ceratoscopelus warmingii,NA,LC,Warming's lantern fish
15598621,Diaphus bertelseni,NA,LC,Bertelsen's Lanternfish
15598630,Diaphus brachycephalus,NA,LC,Short-headed lantern fish
190314,Diaphus dumerilii,NA,DD,Lantern Fish
15598639,Diaphus effulgens,NA,LC,Headlight fish
15598666,Diaphus fragilis,NA,LC,Fragile lantern fish
190321,Diaphus garmani,NA,LC,Garman's Lanternfish
15598672,Diaphus lucidus,NA,LC,Spotlight lanternfish
47165067,Diaphus luetkeni,NA,LC,Lutkens lanternfish
198613,Diaphus metopoclampus,NA,LC,Spothead Lantern Fish
190197,Diaphus mollis,NA,LC,Soft Lanternfish
15598778,Diaphus perspicillatus,NA,LC,Transparent lantern fish
60470092,Diaphus problematicus,NA,LC,Problematic Lanternfish
154729,Diaphus rafinesquii,NA,LC,White-spotted Lantern Fish
15598791,Diaphus splendidus,NA,LC,Horned lanternfish
15598799,Diaphus subtilis,NA,DD,NA
15598809,Diaphus taaningi,NA,DD,Slopewater lanternfish
15598812,Diaphus termophilus,NA,LC,Taaning's lantern fish
198614,Diogenichthys atlanticus,NA,LC,Longfin Lanternfish
198615,Electrona risso,NA,LC,Electric Lantern Fish
198616,Gonichthys cocco,NA,LC,Cocco's Lanternfish
190100,Hygophum benoiti,NA,LC,Benoit's Lanternfish
198617,Hygophum hygomii,NA,LC,Bermuda Lantern Fish
15598815,Hygophum macrochir,NA,LC,Large-finned lanternfish
15598887,Hygophum reinhardtii,NA,LC,Reinhardt's lantern fish
15598938,Hygophum taaningi,NA,LC,T<e5>ning<92>s lanternfish
15598948,Lampadena anomala,NA,DD,Anomalous lanternfish
15598951,Lampadena chavesi,NA,LC,Chaves' lanternfish
15598957,Lampadena luminosa,NA,LC,Luminous lanternfish
60471855,Lampadena speculigera,NA,LC,Mirror Lanternfish
15599060,Lampanyctus alatus,NA,LC,Winged lanternfish
198618,Lampanyctus crocodilus,NA,LC,Jewel Lanternfish
15599067,Lampanyctus festivus,NA,LC,Festive lanternfish
15599070,Lampanyctus intricarius,NA,LC,Diamondcheek Lanternfish
18128938,Lampanyctus macdonaldi,NA,LC,Rakery Beaconlamp
190369,Lampanyctus nobilis,NA,LC,Noble Lanternfish
60471860,Lampanyctus photonotus,NA,LC,Dotback Lanternfish
198619,Lampanyctus pusillus,NA,LC,Pygmy Lanternfish
15599123,Lepidophanes gaussi,NA,LC,NA
15599136,Lepidophanes guentheri,NA,LC,G<fc>nther<92>s lanternfish
198620,Lobianchia dofleini,NA,LC,Dofleini's Lantern Fish
190425,Lobianchia gemellarii,NA,LC,Cocco's Lantern Fish
60473762,Loweina interrupta,NA,LC,Barebelly Lanternfish
60474290,Loweina rara,NA,LC,Rare Lanternfish
15599150,Myctophum affine,NA,LC,Metallic lantern fish
15600450,Myctophum asperum,NA,LC,Prickly lanternfish
15600453,Myctophum nitidulum,NA,LC,Spotted Lanternfish
15600713,Myctophum obtusirostre,NA,LC,Bluntsnout lanternfish
190453,Myctophum punctatum,NA,LC,Spotted Lanternfish
15600727,Myctophum selenops,NA,LC,Wisner's lantern fish
15600731,Nannobrachium atrum,NA,LC,Dusky Lanternfish
