nmfs_original_species,stock_assessment_species_name,stock_assessment_species_location,stockid,source,stock,rgn_id,rgn_name
"HAKE, RED / LING",red hake,Gulf of Maine / Northern Georges Bank,HKRGMNGB,NMFS,Northern Red Hake,6,Maine
"HAKE, RED / LING",red hake,Gulf of Maine / Northern Georges Bank,HKRGMNGB,NMFS,Northern Red Hake,7,Massachusetts-North
"HAKE, RED / LING",red hake,Gulf of Maine / Northern Georges Bank,HKRGMNGB,NMFS,Northern Red Hake,8,Massachusetts-South
"HAKE, RED / LING",red hake,Gulf of Maine / Northern Georges Bank,HKRGMNGB,NMFS,Northern Red Hake,9,New Hampshire
"HAKE, RED / LING",red hake,Gulf of Maine / Northern Georges Bank,HKRGMNGB,NMFS,Northern Red Hake,12,Northeast
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,1,Offshore
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,2,Georges Bank
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,4,Mid-Atlantic Bight
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,5,Connecticut
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,8,Massachusetts-South
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,10,New York
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,11,Rhode Island
"HAKE, RED / LING",red hake,Southern Georges Bank / Mid-Atlantic,HKRSGBMA,NMFS,Southern Red Hake,12,Northeast
