"","year","stock","indicator","value"
"239",2008,"Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.08299994468689
"240",2008,"Smooth skate - Gulf of Maine | Asmt & Status","b_bmsy",0.448000013828278
"241",2008,"Thorny skate - Gulf of Maine | Asmt & Status","b_bmsy",0.101999998092651
"242",2008,"Winter skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.934000015258789
"243",2009,"Atlantic herring - Northwestern Atlantic Coast","b_bmsy",0.972000002861023
"244",2009,"Barndoor skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.629999995231628
"245",2009,"Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.35099995136261
"246",2009,"Little skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.717000007629395
"247",2009,"Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.08299994468689
"248",2009,"Smooth skate - Gulf of Maine | Asmt & Status","b_bmsy",0.448000013828278
"249",2009,"Thorny skate - Gulf of Maine | Asmt & Status","b_bmsy",0.101999998092651
"250",2009,"Winter skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.934000015258789
"251",2010,"Sea scallop - Northwestern Atlantic Coast","b_bmsy",1.0349999666214
"252",2010,"Pollock - Gulf of Maine / Georges Bank","b_bmsy",2.15400004386902
"253",2010,"Yellowtail flounder - Georges Bank","b_bmsy",0.324000000953674
"254",2011,"Red hake - Gulf of Maine / Northern Georges Bank","b_bmsy",0.953000009059906
"255",2011,"Red hake - Southern Georges Bank / Mid-Atlantic","b_bmsy",0.930999994277954
"256",2011,"Silver hake - Gulf of Maine / Northern Georges Bank","b_bmsy",0.966000020503998
"257",2011,"Silver hake - Southern Georges Bank / Mid-Atlantic","b_bmsy",0.672999978065491
"258",2011,"Winter flounder - Georges Bank","b_bmsy",0.822000026702881
"259",2011,"Winter flounder - Southern New England / Mid-Atlantic","b_bmsy",0.162000000476837
"260",2011,"Yellowtail flounder - Georges Bank","b_bmsy",0.203999996185303
"261",2011,"Barndoor skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.685000002384186
"262",2011,"Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.42900002002716
"263",2011,"Little skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",1.15900003910065
"264",2011,"Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",0.833000004291534
"265",2011,"Smooth skate - Gulf of Maine | Asmt & Status","b_bmsy",0.555000007152557
"266",2011,"Thorny skate - Gulf of Maine | Asmt & Status","b_bmsy",0.0590000003576279
"267",2011,"Winter skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",1.72899997234344
"268",2012,"Atlantic herring - Northwestern Atlantic Coast","b_bmsy",3.29900002479553
"269",2012,"Acadian redfish - Gulf of Maine / Georges Bank","b_bmsy",1.32299995422363
"270",2012,"American plaice - Gulf of Maine / Georges Bank","b_bmsy",0.587000012397766
"271",2012,"Atlantic cod - Georges Bank","b_bmsy",0.0799999982118607
"272",2012,"Atlantic cod - Gulf of Maine","b_bmsy",0.194000005722046
"273",2012,"Atlantic halibut - Northwestern Atlantic Coast","b_bmsy",0.034000001847744
"274",2012,"Atlantic wolffish - Gulf of Maine / Georges Bank","b_bmsy",0.287999987602234
"275",2012,"Haddock - Georges Bank","b_bmsy",1.33899998664856
"276",2012,"Haddock - Gulf of Maine","b_bmsy",0.584999978542328
"277",2012,"Ocean pout - Northwestern Atlantic Coast","b_bmsy",0.0829999968409538
"278",2012,"Windowpane - Gulf of Maine / Georges Bank","b_bmsy",0.287999987602234
"279",2012,"Windowpane - Southern New England / Mid-Atlantic","b_bmsy",1.45799994468689
"280",2012,"Witch flounder - Northwestern Atlantic Coast","b_bmsy",0.407999992370605
"281",2012,"Yellowtail flounder - Cape Cod / Gulf of Maine","b_bmsy",0.237000003457069
"282",2012,"Yellowtail flounder - Georges Bank","b_bmsy",0.105999998748302
"283",2012,"Yellowtail flounder - Southern New England / Mid-Atlantic","b_bmsy",1.29299998283386
"284",2012,"Barndoor skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.688000023365021
"285",2012,"Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.45500004291534
"286",2012,"Little skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",1.35800004005432
"287",2012,"Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",0.875
"288",2012,"Smooth skate - Gulf of Maine | Asmt & Status","b_bmsy",0.851999998092651
"289",2012,"Thorny skate - Gulf of Maine | Asmt & Status","b_bmsy",0.0579999983310699
"290",2012,"Winter skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",1.55200004577637
"291",2013,"Atlantic cod - Georges Bank","b_bmsy",0.0710000023245811
"292",2013,"White hake - Gulf of Maine / Georges Bank","b_bmsy",0.828999996185303
"293",2013,"Barndoor skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.77700001001358
"294",2013,"Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.47000002861023
"295",2013,"Little skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",1.15600001811981
"296",2013,"Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",0.688000023365021
"297",2013,"Smooth skate - Gulf of Maine | Asmt & Status","b_bmsy",0.851999998092651
"298",2013,"Thorny skate - Gulf of Maine | Asmt & Status","b_bmsy",0.0439999997615814
"299",2013,"Winter skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",1.192999958992
"300",2014,"Sea scallop - Northwestern Atlantic Coast","b_bmsy",1.37399995326996
"301",2014,"Haddock - Gulf of Maine","b_bmsy",1.00999999046326
"302",2014,"Pollock - Gulf of Maine / Georges Bank","b_bmsy",1.63800001144409
"303",2014,"Red hake - Gulf of Maine / Northern Georges Bank","b_bmsy",0.799000024795532
"304",2014,"Red hake - Southern Georges Bank / Mid-Atlantic","b_bmsy",1.13699996471405
"305",2014,"Silver hake - Gulf of Maine / Northern Georges Bank","b_bmsy",2.44899988174438
"306",2014,"Silver hake - Southern Georges Bank / Mid-Atlantic | Asmt & Status","b_bmsy",1.02999997138977
"307",2014,"Winter flounder - Georges Bank","b_bmsy",0.857999980449677
"308",2014,"Barndoor skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.77700001001358
"309",2014,"Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.52999997138977
"310",2014,"Little skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",1.13699996471405
"311",2014,"Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",0.875
"312",2014,"Smooth skate - Gulf of Maine | Asmt & Status","b_bmsy",0.814999997615814
"313",2014,"Thorny skate - Gulf of Maine | Asmt & Status","b_bmsy",0.028999999165535
"314",2014,"Winter skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.885999977588654
"315",2015,"Atlantic herring - Northwestern Atlantic Coast","b_bmsy",2.00200009346008
"316",2015,"Sea scallop - Northwestern Atlantic Coast","b_bmsy",2.03900003433228
"317",2015,"Acadian redfish - Gulf of Maine / Georges Bank","b_bmsy",1.16999995708466
"318",2015,"American plaice - Gulf of Maine / Georges Bank","b_bmsy",0.839999973773956
"319",2015,"Atlantic wolffish - Gulf of Maine / Georges Bank","b_bmsy",0.379999995231628
"320",2015,"Haddock - Georges Bank","b_bmsy",1.38999998569489
